threshold,acc,sp,r_small,r_medium,r_large,r_bg
0.5,66.19718309859155,66.49980550605218,64.04494382022472,58.38926174496645,69.62616822429906,74.48979591836735
0.55,66.35367762128325,66.4898646847388,57.865168539325836,62.41610738255034,72.89719626168224,73.46938775510205
0.6,65.10172143974961,65.19449851360056,51.12359550561798,63.758389261744966,73.83177570093457,73.46938775510205
0.65,65.72769953051643,65.42324001315507,47.752808988764045,65.1006711409396,77.57009345794393,73.46938775510205
0.7,65.57120500782473,64.87250796420993,44.9438202247191,65.1006711409396,79.90654205607477,72.44897959183673
0.75,65.25821596244131,64.45104788676743,42.69662921348314,65.77181208053692,80.37383177570094,72.44897959183673
0.8,64.7887323943662,63.8276187791999,39.8876404494382,66.44295302013423,80.8411214953271,72.44897959183673
0.85,64.47574334898279,63.35630456611224,37.640449438202246,67.11409395973155,81.30841121495327,72.44897959183673
0.9,64.00625978090767,62.78886563368962,35.95505617977528,67.11409395973155,81.30841121495327,72.44897959183673
0.95,64.00625978090767,62.78886563368962,35.95505617977528,67.11409395973155,81.30841121495327,72.44897959183673
1.0,63.84976525821596,62.59680799920001,35.39325842696629,67.11409395973155,81.30841121495327,72.44897959183673
